4 5 30 33 41 52 
9 37 39 41 43 49 
10 11 29 30 36 47 
1 5 6 27 42 59 
1 2 6 16 19 46 
7 13 19 22 40 47 
3 5 20 21 38 56 
4 17 37 38 47 53 
8 43 54 55 56 60 
4 18 21 25 38 57 
15 25 37 38 58 59 
4 16 19 20 27 43 
18 32 47 50 54 56 
2 16 23 27 47 53 
12 33 35 51 52 60 
20 32 34 49 58 60 
6 10 13 19 20 51 
23 27 36 37 42 56 
5 10 12 24 25 60 
11 25 28 30 33 51 
6 33 36 46 49 53 
1 9 31 38 46 56 
17 37 39 51 52 59 
1 8 14 28 33 43 
24 43 50 54 55 56 
10 22 50 53 57 58 
13 17 20 33 44 51 
3 6 22 24 54 60 
3 8 14 43 56 58 
7 14 15 29 38 50 
17 19 28 45 48 56 
5 14 33 36 43 44 
5 17 33 39 42 49 
13 15 17 40 53 57 
4 16 21 23 54 57 
3 13 17 25 29 51 
6 7 22 38 52 60 
10 42 43 45 54 55 
12 16 37 45 52 56 
3 5 8 12 46 47 
12 26 35 38 39 47 "GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA"
7 11 19 24 33 36 
2 6 17 25 26 58 
14 18 29 38 44 47 
7 30 37 44 53 55 
1 23 24 32 46 60 
3 17 25 35 48 56 
2 5 28 34 47 50 
7 13 33 35 43 55 "Ganhador  RJ (Barra Mansa)"
6 16 21 44 57 58 
17 23 24 25 42 47 
15 30 38 46 58 59 
3 13 16 38 42 46 
5 9 18 21 36 56 "Ganhadores dos estados: BA e SP."
2 14 23 29 38 52 
2 7 20 35 51 59 
7 16 17 27 34 59 
12 27 30 37 44 49 "Ganhador do Estado: SP"
2 8 13 28 34 54 
3 14 15 20 21 38 
8 18 29 42 44 59 
6 8 13 24 31 52 
9 25 26 40 41 49 
8 12 23 50 54 60 
1 5 20 25 32 34 
12 13 15 26 33 48 
12 14 17 27 47 52 
1 3 12 13 53 59 
25 34 45 53 56 58 
17 23 27 40 43 58 
16 27 33 43 45 53 
1 19 34 43 44 48 
25 26 28 45 51 57 "GANHADOR: BA - SALVADOR"
2 24 34 37 38 50 
21 24 35 36 37 49 
8 17 18 23 33 53 
21 29 40 49 54 57 
12 22 25 31 32 46 
2 13 17 25 31 43 "O ganhador da SENA do Estado do Rio Grande do Sul"
23 28 37 40 48 51 
10 23 41 47 54 60 
15 18 29 36 51 53 "Ganhador da SENA do Estado da Bahia."
4 15 16 24 42 57 
4 6 10 25 34 40 
6 15 30 37 45 47 
6 21 22 34 36 54 
4 5 11 28 32 40 "A SENA ESTA ACUMULADA."
4 18 29 37 43 45 "A MEGASENA ESTA ACUMULADA"
13 34 42 44 55 59 "A MEGA SENA EST- ACUMULADA."
9 21 26 40 52 54 "ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO"
2 4 10 35 39 60 
1 3 5 23 24 51 
2 22 28 31 36 53 
8 18 28 51 52 55 
6 40 45 46 50 60 
4 7 26 40 42 58 "Ganhador da SENA do Estado da Bahia."
5 11 14 35 53 56 "Ganhador da SENA do Estado de Minas Gerais."
13 14 31 33 35 43 
11 24 30 33 46 60 "A MEGA EST- ACUMULADA ! ! !"
14 29 30 46 48 51 
1 18 29 31 37 39 "A MEGA EST-  A C U M U L A D A  ! ! !"
19 20 37 42 44 56 "Ganhador da SENA do Estado de Minas Gerais."
1 7 9 49 54 57 "GANHADOR DA SENA DO ESTADO DO PARAN-"
1 4 13 21 38 52 "A C U M U L O U !!!"
3 13 31 43 46 49 "A MEGA-SENA EST- ACUMULADA ! ! !"
5 16 24 35 38 39 
2 4 16 24 51 52 "A MEGA EST- ACUMULADA ! ! !"
21 24 29 34 59 60 
1 13 44 48 49 54 "A MEGA-SENA EST- ACUMULADA ! ! !"
18 31 43 52 57 58 
4 22 25 32 33 52 
12 20 34 37 42 43 "01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
7 26 28 34 54 55 
6 12 18 37 47 54 
4 6 14 20 24 38 "A MEGA-SENA EST- ACUMULADA !!!"
5 13 32 36 42 51 
20 25 27 33 42 53 
9 22 25 37 56 57 "A MEGA-SENA EST- ACUMULADA ! ! !"
1 21 36 38 47 50 
3 16 27 40 45 46 
2 29 41 44 53 55 "A MEGA-SENA EST- ACUMULADA ! ! !"
11 17 20 39 43 53 
13 14 16 26 32 42 "A MEGA-SENA ACUMULOU (11¬ Vez)"
5 15 34 41 52 57 "O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO."
25 41 47 53 56 59 
6 10 11 28 32 40 "A MEGA-SENA EST- ACUMULADA ! ! !"
21 29 50 51 54 59 
3 9 18 21 23 43 
1 9 10 32 46 54 "A MEGA-SENA EST- BIG ACUMULADA ! ! !"
13 29 38 42 49 53 
4 9 17 27 30 44 
7 9 35 41 44 50 "A MEGA CONTINUA ACUMULADA - Previsão de Prêmio para o Conc.133 = 29.000.000,00"
5 6 19 34 39 57 "ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS."
4 25 32 36 52 60 
21 22 35 40 53 59 "A MEGA-SENA ESTÁ ACUMULADA ! ! !"
1 17 25 38 45 59 
15 16 19 22 26 49 "A MEGA-SENA ESTÁ ACUMULADA ! ! !"
5 14 27 37 40 41 
3 13 26 27 41 42 "02 Ganhadores do Estado de SÃO PAULO (Taubaté e São Paulo-Capital)"
7 31 41 44 46 55 
10 13 22 41 42 58 "A MEGA-SENA ESTÁ ACUMULADA.  PREVISÃO DO PRÊMIO: 23 Milhões. ! ! !"
8 15 19 20 54 59 "A MEGA-SENA  CONTINUA   A C U M U L A A A D A !"
6 18 20 40 50 53 "A MEGA ACUMULOU  E  A  BOLADA ESTARÁ BEM MAIOR ! ! !"
8 32 36 44 45 55 "ESTADO CONTEMPLADO COM A SENA: RONDONIA - CIDADE PORTO VELHO."
15 16 31 41 43 51 "A C U M U L O U  ! ! !"
25 32 34 42 51 60 
6 16 23 24 28 38 "01 Ganhador da MEGA  -  Distrito Federal"
32 35 41 55 58 59 
7 11 20 28 45 48 "A MEGA ACUMULOU - O prêmio do CONC.150 pode chegar a 21,2 Milhões."
12 44 50 52 54 55 
3 16 20 43 52 56 "Ganhador da SENA do Estado do Rio Grande do Norte."
5 12 15 29 51 58 "A MEGA-SENA acumulou em mais de 1 milhão de reais."
2 30 31 42 45 47 
8 10 24 33 45 48 "A MEGA ESTÁ ACUMULADA - Próximo Conc. 155, será dia 20/02/1999"
12 30 32 35 43 44 "Ganhador da SENA da cidade de Foz do Iguaçu - Estado do Paraná."
17 23 42 49 52 55 "A MEGA-SENA   está  A C U M U L A D A !!!"
4 13 17 21 41 44 "Ganhador da SENA do Estado de Goiás."
4 14 17 43 51 58 "A  Mega-Sena   A C U M U L O U  !!!"
9 11 16 35 50 58 "Ganhador da SENA do Estado do Paraná."
2 13 42 52 54 58 "A MEGA está acumulada - o Prêmio do Concurso 161, poderá chegar a R$  13 Milhões"
6 25 30 37 39 41 
21 23 33 38 48 51 
8 27 36 41 53 56 "02 Ganhadores da MEGA:  Distrito Federal e Mato Grosso do Sul"
4 10 14 19 28 44 "A Mega-Sena  ACUMULOU em: R$ 1.011.737,90"
10 19 23 35 39 56 "Ganhadores da SENA dos Estados de Minas Gerais e Pernambuco."
12 13 22 57 59 60 "A MEGA   A C U M U L O U   ! ! !"
1 11 28 33 38 48 "Ganhador da SENA do Estado do Rio de Janeiro."
2 9 31 35 45 50 "MEGASENA - O prêmio está ACUMULADO"
1 13 21 37 51 52 
7 41 46 51 55 58 "A  MEGA-SENA  CONTINUA    ""A C U M U L A D A"" podendo passar de 16 MILHÕES DE REAIS"
4 27 40 43 46 54 "UM GANHADOR DA MEGA-SENA, no Estado do Rio de Janeiro - Capital"
10 14 26 35 36 49 
17 28 29 42 49 50 "O Ganhador da SENA é do Distrito Federal."
11 22 23 36 52 59 "A MEGA-SENA  ( A C U M U L O U ) - R$ 942.313,58"
1 10 13 20 42 50 "A SENA está ACUMULADA  em  R$ 2.049.582,99."
1 3 4 28 45 53 
22 35 38 39 41 59 "A SENA ESTÁ ACUMULADA, E O PRÊMIO ESTIMADO É DE R$ 6.500.000,00!"
5 15 19 26 27 33 "Ganhador do Estado de São Paulo"
5 6 23 26 27 53 "Não Houve Ganhador da Sena. MEGASENA  ACUMULADA."
6 23 29 39 51 60 "A MEGA SENA Acumulou - prêmio previsto superior a 14 Milhões."
1 27 33 35 51 55 "Estimativa de prêmio para a sena do próximo concurso: R$ 18 milhões."
3 5 10 28 46 60 "A  MEGASENA continua Acumulada"
2 7 11 16 40 44 "A MEGASENA Acumulou!!! Prêmio previsto  acima  de R$ 25 Milhões."
9 16 21 34 41 60 "A MEGA-SENA ACUMULOU NOVAMENTE!!!. A PREVISÃO DE PREMIAÇÃO DO CONC. 185 É DE R$ 30.000.000,00"
17 22 43 46 55 59 "A MEGA-SENA ACUMULOU!!! A ESTIMATIVA DE PRÊMIO É DE R$ 37.000.000,00."
14 23 24 25 26 51 "Megasena Acumulada. Previsao de premio para o conc.187 e de R$46 Milhoes"
6 36 41 44 48 58 "Sorteio Conc. 188 será domingo, 10/10, às 20:30 h. em Salvador/BA. Vendas até às 16 h. do domingo."
17 27 34 42 43 46 "Ganhador da MEGASENA é do Estado da  BAHIA, Prêmio para o próximo concurso 1 MILHÃO."
4 15 31 38 41 53 "A MEGA-SENA ACUMULOU. PREVISÃO DE PRÊMIO PARA SENA CONC.190 É DE R$ 45.000.000,00."
5 10 21 32 40 42 "A MEGASENA Acumulou!!!! prêmio previsto para o próximo concurso é de R$ 53 Milhões."
1 3 5 23 41 58 "MEGA-SENA  tem 01 Ganhador de MATO GROSSO DO SUL, Campo Grande"
1 26 28 41 54 60 "A MEGASENA Acumulou!!! Estimativa de prêmio para o próximo concurso acima de 3 Milhões."
4 11 12 19 43 49 "Previsão prêmio próximo concurso R$5.300.000,00."
25 28 32 33 42 43 "Previsão prêmio próximo concurso R$6.700.000,00."
3 9 17 32 37 44 "Previsão prêmio próximo concurso R$1.000.000,00."
7 9 14 17 24 32 "Previsão prêmio próximo concurso R$2.490.000,00."
5 12 15 19 29 52 "Previsão prêmio próximo concurso R$4.200.000,00."
1 8 18 23 35 40 "Previsão prêmio próximo concurso R$5.000.000,00."
10 16 37 50 52 57 "Previsão prêmio próximo concurso R$16.500.000,00."
12 15 19 34 44 51 "Os ganhadores da MEGASENA são de: Clevelândia/PR e São José dos Campos/SP."
5 20 22 30 35 55 "Previsão prêmio próximo concurso R$1.070.000,00."
12 24 44 45 49 53 "Estimativa prêmio próximo concurso R$2.000.000,00."
11 19 29 44 47 55 "Estimativa prêmio próximo concurso R$3.300.000,00."
29 31 39 41 51 58 "Previsão prêmio próximo concurso R$4.500.000,00."
26 32 40 43 46 54 "Previsão prêmio próximo concurso R$900.000,00."
18 20 26 34 51 56 "Previsão prêmio próximo concurso R$2.000.000,00."
3 7 19 24 53 55 "Previsão prêmio próximo concurso R$3.200.000,00."
15 23 24 25 47 57 "Previsão prêmio próximo concurso R$4.300.000,00."
13 21 26 32 41 52 "Previsão prêmio próximo concurso R$14.000.000,00."
20 32 37 38 48 58 "Previsão prêmio próximo concursoR$16MILHÕES."
10 20 33 40 45 50 "Previsão prêmio próximo concurso R$19.000.000,00."
6 15 29 45 57 59 "Previsão prêmio próximo concurso R$21.000.000,00."
3 9 23 30 32 35 "Previsão prêmio próximo concurso R$1.000.000,00."
6 12 30 31 35 50 "Previsão prêmio próximo concurso R$2.100.000,00."
